,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1347,2023-01-16 09:00:00,20842.78,20731.18,20752.34,1884.54,39193112.1,20833.36,direct,
1348,2023-01-16 10:00:00,20904.51,20810.36,20833.36,1504.43,31370761.93,20846.22,direct,
1349,2023-01-16 11:00:00,20863.43,20795.37,20846.22,1752.29,36511335.18,20825.28,direct,
1350,2023-01-16 12:00:00,20871.04,20783.98,20825.28,1330.25,27713142.48,20794.29,direct,
1351,2023-01-16 13:00:00,20869.56,20779.75,20794.29,1792.59,37331750.62,20828.83,direct,
1352,2023-01-16 14:00:00,20892.93,20762.78,20828.83,2028.35,42280729.37,20862.46,direct,
1353,2023-01-16 15:00:00,21040.21,20635.89,20862.46,5044.01,105337636.61,20994.16,direct,
1354,2023-01-16 16:00:00,21044.86,20922.13,20994.16,3241.36,68013631.66,20998.41,direct,
1355,2023-01-16 17:00:00,21141.23,20988.68,20998.41,3331.05,70167720.83,21102.38,direct,
1356,2023-01-16 18:00:00,21285.63,21057.71,21102.38,2959.49,62590866.15,21277.42,direct,
1357,2023-01-16 19:00:00,21399.04,21238.41,21277.42,4571.21,97494592.51,21310.75,direct,
1358,2023-01-16 20:00:00,21438.83,21220.98,21310.75,3254.09,69373967.49,21288.49,direct,
1359,2023-01-16 21:00:00,21290.59,21063.92,21288.49,3154.85,66746673.25,21132.78,direct,
1360,2023-01-16 22:00:00,21222.94,21131.34,21132.78,1237.71,26213694.69,21187.61,direct,
1361,2023-01-16 23:00:00,21225.39,21108.93,21187.61,1510.98,31988273.68,21188.92,direct,
1362,2023-01-17 00:00:00,21294.46,21072.92,21188.92,3091.99,65452806.13,21109.39,direct,
1363,2023-01-17 01:00:00,21145.53,20866.41,21109.39,3089.89,64886913.08,21045.64,direct,
1364,2023-01-17 02:00:00,21107.35,20991.55,21045.64,1575.93,33173907.31,21103.1,direct,
1365,2023-01-17 03:00:00,21168.37,21065.37,21103.1,1341.8,28323357.95,21125.24,direct,
1366,2023-01-17 04:00:00,21223.52,21105.7,21125.24,1681.01,35576339.08,21156.84,direct,
1367,2023-01-17 05:00:00,21183.0,21133.51,21156.84,1032.64,21845789.72,21151.07,direct,
1368,2023-01-17 06:00:00,21154.37,21068.58,21151.07,1024.29,21631516.0,21071.55,direct,
1369,2023-01-17 07:00:00,21173.1,21062.72,21071.55,1240.85,26193445.83,21135.17,direct,
1370,2023-01-17 08:00:00,21211.55,21131.66,21135.17,1451.03,30733243.35,21203.79,direct,
1371,2023-01-17 09:00:00,21245.29,21149.56,21203.79,1125.54,23847351.18,21176.0,direct,
1372,2023-01-17 10:00:00,21179.63,21088.94,21176.0,1261.86,26664312.99,21129.0,direct,
1373,2023-01-17 11:00:00,21232.99,21105.4,21129.0,1214.34,25708484.74,21220.38,direct,
1374,2023-01-17 12:00:00,21346.15,21193.6,21220.38,2250.42,47854242.32,21256.48,direct,
1375,2023-01-17 13:00:00,21270.03,21181.83,21256.48,1663.77,35314496.45,21233.35,direct,
1376,2023-01-17 14:00:00,21555.18,21071.37,21233.35,7564.63,161131407.29,21283.89,direct,
1377,2023-01-17 15:00:00,21379.32,21050.02,21283.89,4779.08,101495246.72,21180.88,direct,
1378,2023-01-17 16:00:00,21237.7,21088.53,21180.88,2763.15,58478776.6,21164.58,direct,
1379,2023-01-17 17:00:00,21243.0,21091.18,21164.58,2030.59,42961753.37,21229.48,direct,
1380,2023-01-17 18:00:00,21417.34,21194.06,21229.48,3127.48,66649229.9,21355.51,direct,
1381,2023-01-17 19:00:00,21383.51,21288.88,21355.51,2652.13,56604514.02,21340.8,direct,
1382,2023-01-17 20:00:00,21397.48,21270.64,21340.8,2988.7,63797453.1,21383.27,direct,
1383,2023-01-17 21:00:00,21403.94,21280.77,21383.27,2246.18,47900272.71,21315.5,direct,
1384,2023-01-17 22:00:00,21346.92,21217.12,21315.5,1821.71,38783836.9,21234.72,direct,
1385,2023-01-17 23:00:00,21273.11,21130.92,21234.72,2687.35,56958792.05,21136.12,direct,
1386,2023-01-18 00:00:00,21239.42,21112.96,21136.12,1928.76,40844731.13,21204.45,direct,
1387,2023-01-18 01:00:00,21261.36,21179.01,21204.45,1386.75,29429089.59,21237.19,direct,
1388,2023-01-18 02:00:00,21349.86,21159.44,21237.19,2362.5,50222601.34,21297.55,direct,
1389,2023-01-18 03:00:00,21373.78,21264.75,21297.55,1850.66,39452906.97,21265.12,direct,
1390,2023-01-18 04:00:00,21298.85,21232.93,21265.12,867.34,18448798.59,21281.02,direct,
1391,2023-01-18 05:00:00,21317.01,21260.1,21281.02,912.96,19440617.49,21311.26,direct,
1392,2023-01-18 06:00:00,21315.48,21250.47,21311.26,754.12,16047517.67,21261.4,direct,
1393,2023-01-18 07:00:00,21308.57,21248.37,21261.4,965.18,20537764.12,21307.93,direct,
1394,2023-01-18 08:00:00,21316.11,21213.21,21307.93,1200.38,25516938.25,21248.88,direct,
1395,2023-01-18 09:00:00,21280.28,21183.06,21248.88,1607.56,34123717.52,21230.62,direct,
1396,2023-01-18 10:00:00,21255.67,21170.27,21230.62,966.62,20509527.22,21183.06,direct,
1397,2023-01-18 11:00:00,21234.22,21174.78,21183.06,760.17,16122130.41,21206.13,direct,
1398,2023-01-18 12:00:00,21291.8,21203.23,21206.13,1379.42,29311016.61,21262.96,direct,
1399,2023-01-18 13:00:00,21454.95,21219.8,21262.96,4467.01,95303544.23,21410.11,direct,
1400,2023-01-18 14:00:00,21624.6,21322.03,21410.11,7023.9,150689648.75,21419.34,direct,
1401,2023-01-18 15:00:00,21549.69,20860.58,21419.34,9895.21,210015457.49,21010.27,direct,
1402,2023-01-18 16:00:00,21028.16,20411.68,21010.27,12752.89,264031017.51,20857.84,direct,
1403,2023-01-18 17:00:00,21121.59,20757.19,20857.84,9168.77,192011924.25,20884.84,direct,
1404,2023-01-18 18:00:00,21056.02,20851.53,20884.84,4643.16,97225458.0,20937.62,direct,
1405,2023-01-18 19:00:00,20974.77,20887.69,20937.62,2507.66,52478740.25,20897.26,direct,
1406,2023-01-18 20:00:00,20933.03,20689.92,20897.26,4629.29,96262150.42,20726.11,direct,
1407,2023-01-18 21:00:00,20833.93,20720.11,20726.11,2316.57,48138394.25,20780.0,direct,
1408,2023-01-18 22:00:00,20810.64,20656.77,20780.0,4383.33,90860336.6,20809.77,direct,
1409,2023-01-18 23:00:00,20811.59,20661.5,20809.77,3692.46,76539100.35,20678.47,direct,
1410,2023-01-19 00:00:00,20755.82,20673.18,20678.47,2905.66,60202337.43,20695.44,direct,
1411,2023-01-19 01:00:00,20771.92,20680.12,20695.44,1986.91,41194886.5,20715.26,direct,
1412,2023-01-19 02:00:00,20770.55,20673.21,20715.26,1781.85,36930098.97,20759.41,direct,
1413,2023-01-19 03:00:00,20811.36,20744.15,20759.41,1981.27,41155918.45,20746.07,direct,
1414,2023-01-19 04:00:00,20859.41,20743.02,20746.07,1621.29,33739837.15,20809.02,direct,
1415,2023-01-19 05:00:00,20844.39,20796.68,20809.02,709.9,14777601.17,20810.35,direct,
